market,commodity,latitude,longitude,chosen_forecast,naive_forecast,display_forecast,latest_flagged
Ethiopia (Kakuma),Beans (dry),3.72,34.85,blend,116.67,115.26617688940564,False
Ethiopia (Kakuma),Maize,3.72,34.85,blend,56.67,61.355557475655075,False
Ethiopia (Kakuma),Maize flour,3.72,34.85,naive,90.0,90.0,False
Ethiopia (Kakuma),Rice,3.72,34.85,naive,130.0,130.0,False
Ethiopia (Kakuma),Salt,3.72,34.85,blend,75.0,74.85910849405373,False
Ethiopia (Kakuma),Sugar,3.72,34.85,naive,163.33,163.33,False
Ethiopia (Kakuma),Wheat flour,3.72,34.85,naive,91.67,91.67,False
Garissa,Maize (white),-0.46,39.65,naive,70.0,70.0,False
Hagadera (Daadab),Beans (dry),0.01,40.37,blend,118.79,118.59309793215955,False
Hagadera (Daadab),Maize,0.01,40.37,naive,60.0,60.0,False
Hagadera (Daadab),Maize flour,0.01,40.37,blend,98.46,98.47072185113916,False
Hagadera (Daadab),Meat (camel),0.01,40.37,naive,600.0,600.0,False
Hagadera (Daadab),Meat (goat),0.01,40.37,naive,800.0,800.0,False
Hagadera (Daadab),Potatoes (Irish),0.01,40.37,naive,64.14,64.14,False
Hagadera (Daadab),Rice,0.01,40.37,naive,100.88,100.88,False
Hagadera (Daadab),Salt,0.01,40.37,naive,56.9,56.9,False
Hagadera (Daadab),Sugar,0.01,40.37,naive,119.71,119.71,False
Hagadera (Daadab),Wheat flour,0.01,40.37,naive,99.37,99.37,False
HongKong (Kakuma),Beans (dry),3.75,34.84,naive,143.33,143.33,False
HongKong (Kakuma),Maize,3.75,34.84,naive,60.0,60.0,False
HongKong (Kakuma),Maize flour,3.75,34.84,naive,86.67,86.67,False
HongKong (Kakuma),Rice,3.75,34.84,blend,143.33,136.0553656112232,False
HongKong (Kakuma),Salt,3.75,34.84,naive,66.64999999999999,66.64999999999999,False
HongKong (Kakuma),Sugar,3.75,34.84,naive,160.0,160.0,False
HongKong (Kakuma),Wheat flour,3.75,34.84,naive,90.0,90.0,False
IFO (Daadab),Beans (dry),0.11,40.32,naive,120.5,120.5,False
IFO (Daadab),Maize,0.11,40.32,naive,68.13,68.13,False
IFO (Daadab),Maize flour,0.11,40.32,naive,101.13,101.13,False
IFO (Daadab),Meat (camel),0.11,40.32,naive,640.97,640.97,False
IFO (Daadab),Meat (goat),0.11,40.32,naive,808.94,808.94,False
IFO (Daadab),Potatoes (Irish),0.11,40.32,naive,65.16,65.16,False
IFO (Daadab),Rice,0.11,40.32,naive,117.73,117.73,False
IFO (Daadab),Salt,0.11,40.32,naive,84.45,84.45,False
IFO (Daadab),Sugar,0.11,40.32,naive,120.0,120.0,False
IFO (Daadab),Wheat flour,0.11,40.32,naive,99.95,99.95,False
Kajiado,Beans (dry),-1.84,36.79,naive,100.0,100.0,False
Kajiado,Maize (white),-1.84,36.79,naive,53.0,53.0,False
Kakuma 2,Beans (dry),3.75,34.82,naive,120.0,120.0,False
Kakuma 2,Maize,3.75,34.82,naive,56.67,56.67,False
Kakuma 2,Maize flour,3.75,34.82,naive,78.33,78.33,False
Kakuma 2,Potatoes (Irish),3.75,34.82,naive,90.0,90.0,False
Kakuma 2,Rice,3.75,34.82,naive,113.33,113.33,False
Kakuma 2,Salt,3.75,34.82,naive,75.0,75.0,False
Kakuma 2,Sugar,3.75,34.82,naive,160.0,160.0,False
Kakuma 2,Wheat flour,3.75,34.82,naive,83.33,83.33,False
Kakuma 3,Beans (dry),3.77,34.82,blend,134.44,134.2463386043884,False
Kakuma 3,Maize,3.77,34.82,naive,67.5,67.5,False
Kakuma 3,Maize flour,3.77,34.82,naive,84.44,84.44,False
Kakuma 3,Meat (beef),3.77,34.82,naive,550.0,550.0,False
Kakuma 3,Meat (goat),3.77,34.82,naive,800.0,800.0,False
Kakuma 3,Potatoes (Irish),3.77,34.82,naive,80.0,80.0,False
Kakuma 3,Rice,3.77,34.82,naive,160.0,160.0,False
Kakuma 3,Salt,3.77,34.82,blend,75.0,70.02269532657914,False
Kakuma 3,Sugar,3.77,34.82,naive,154.44,154.44,False
Kakuma 3,Wheat flour,3.77,34.82,naive,91.11,91.11,False
Kakuma 4,Beans (dry),3.74,34.81,naive,113.33,113.33,False
Kakuma 4,Maize,3.74,34.81,blend,53.33,53.58296205836201,False
Kakuma 4,Maize flour,3.74,34.81,naive,80.0,80.0,False
