market,commodity,model_track,n_test,naive_mae,naive_mape,model_mae,model_mape
Ethiopia (Kakuma),Beans (dry),prophet,5,12.962,9.495281108916185,16.409758064580025,12.175747117235328
Ethiopia (Kakuma),Maize,prophet,5,4.556,7.425084054229811,18.92319616053139,31.3042885267888
Ethiopia (Kakuma),Maize flour,prophet,5,2.2439999999999998,2.574305597123483,13.327777126891856,15.607440322219023
Ethiopia (Kakuma),Rice,prophet,5,13.303999999999998,12.461098901098902,50.55629884577981,46.36039585933777
Ethiopia (Kakuma),Salt,prophet,5,9.0,12.346652047627291,21.766446472379396,30.39856582131361
Ethiopia (Kakuma),Sugar,prophet,5,9.466000000000003,5.867874154368682,34.61185925323226,21.280328962690977
Ethiopia (Kakuma),Wheat flour,prophet,5,3.066,3.305591494000854,19.067317978409314,20.726655148343514
Garissa,Maize (white),prophet,5,0.4,0.5714285714285714,2.995163076887374,4.2951885789459725
Hagadera (Daadab),Beans (dry),prophet,6,1.534999999999999,1.2763910400665957,10.016077053279053,8.297717174307463
Hagadera (Daadab),Maize,prophet,5,0.22400000000000092,0.3750919694930477,4.394708570433984,7.327466784084077
Hagadera (Daadab),Maize flour,prophet,6,3.020000000000001,3.099392757967273,5.062331240923553,5.142467404878541
Hagadera (Daadab),Meat (camel),prophet,5,0.0,0.0,55.74055043833293,9.290091739722158
Hagadera (Daadab),Meat (goat),prophet,5,1.2960000000000036,0.16200000000000045,133.36165193950032,16.670206492437543
Hagadera (Daadab),Potatoes (Irish),prophet,6,6.738333333333332,9.156225925296969,9.211256710085502,12.664286701316948
Hagadera (Daadab),Rice,prophet,6,2.9750000000000014,2.817350628482357,13.630888826943952,13.426641357640426
Hagadera (Daadab),Salt,prophet,6,8.891666666666666,16.067620682771754,9.734128938755543,16.356689146812485
Hagadera (Daadab),Sugar,prophet,6,2.8900000000000006,2.3923950220362995,12.346271536492557,10.263274478203854
Hagadera (Daadab),Wheat flour,prophet,6,1.2383333333333322,1.2532855219406023,2.569592252799213,2.599321454408786
HongKong (Kakuma),Beans (dry),prophet,5,3.389999999999998,2.3109045866783076,83.68947665027858,56.56157249637671
HongKong (Kakuma),Maize,prophet,5,5.3340000000000005,8.313809523809525,21.311357773459058,34.7308944361891
HongKong (Kakuma),Maize flour,prophet,5,3.872,4.456562603926998,19.93490043751141,23.705737331027173
HongKong (Kakuma),Rice,prophet,5,10.297999999999991,6.966022427962089,26.37543181464677,17.646227975816718
HongKong (Kakuma),Salt,prophet,5,10.510000000000005,14.413359703562262,14.28119575406131,20.378884238459023
HongKong (Kakuma),Sugar,prophet,5,2.067999999999995,1.268551003735167,42.52552831506055,26.12669184161164
HongKong (Kakuma),Wheat flour,prophet,5,1.0,1.0960960960960962,20.823437089882958,23.0575256841086
IFO (Daadab),Beans (dry),prophet,6,2.1666666666666665,1.7738107576527489,15.148423511168744,12.453290273930282
IFO (Daadab),Maize,prophet,6,3.013333333333333,4.582370745187929,4.798798856078251,7.1483942827907
IFO (Daadab),Maize flour,prophet,5,1.7759999999999991,1.7477014585631026,8.190702595450606,8.077664947664038
