market,commodity,date,price_per_kg,expected_price,flagged
Kitui,Beans (dry),2006-01-15,39.0,,False
Lodwar (Turkana),Maize (white),2006-01-15,26.0,,False
Marsabit,Maize (white),2006-01-15,21.0,,False
Kitui,Maize (white),2006-01-15,17.0,,False
Nairobi,Bread,2006-01-15,65.0,,False
Kitui,Maize (white),2006-02-15,18.0,17.0,False
Lodwar (Turkana),Maize (white),2006-02-15,28.0,26.0,False
Marsabit,Maize (white),2006-02-15,22.0,21.0,False
Nairobi,Bread,2006-02-15,65.0,65.0,False
Kitui,Beans (dry),2006-02-15,42.0,39.0,False
Kitui,Beans (dry),2006-03-15,47.0,42.0,False
Nairobi,Bread,2006-03-15,65.0,65.0,False
Marsabit,Maize (white),2006-03-15,22.0,22.0,False
Lodwar (Turkana),Maize (white),2006-03-15,27.0,28.0,False
Kitui,Maize (white),2006-03-15,18.0,18.0,False
Kitui,Beans (dry),2006-04-15,53.0,47.0,False
Nairobi,Bread,2006-04-15,65.0,65.0,False
Lodwar (Turkana),Maize (white),2006-04-15,30.0,27.0,False
Marsabit,Maize (white),2006-04-15,24.0,22.0,False
Kitui,Maize (white),2006-04-15,19.0,18.0,False
Kitui,Maize (white),2006-05-15,22.0,19.0,False
Lodwar (Turkana),Maize (white),2006-05-15,26.0,30.0,False
Mandera,Maize (white),2006-05-15,25.0,,False
Kitui,Beans (dry),2006-05-15,51.0,53.0,False
Marsabit,Maize (white),2006-05-15,22.0,24.0,False
Nairobi,Bread,2006-05-15,65.0,65.0,False
Nairobi,Bread,2006-06-15,65.0,65.0,False
Kitui,Beans (dry),2006-06-15,53.0,51.0,False
Lodwar (Turkana),Maize (white),2006-06-15,27.0,26.0,False
Marsabit,Maize (white),2006-06-15,20.0,22.0,False
Kitui,Maize (white),2006-06-15,22.0,22.0,False
Kitui,Beans (dry),2006-07-15,51.0,53.0,False
Mandera,Maize (white),2006-07-15,23.0,25.0,False
Kitui,Maize (white),2006-07-15,22.0,22.0,False
Marsabit,Maize (white),2006-07-15,21.0,20.0,False
Nairobi,Bread,2006-07-15,65.0,65.0,False
Nairobi,Bread,2006-08-15,65.0,65.0,False
Mandera,Maize (white),2006-08-15,23.0,23.0,False
Kitui,Maize (white),2006-08-15,21.0,22.0,False
Marsabit,Maize (white),2006-08-15,22.0,21.0,False
Kitui,Beans (dry),2006-08-15,42.0,51.0,True
Marsabit,Maize (white),2006-09-15,20.0,22.0,False
Kitui,Beans (dry),2006-09-15,42.0,42.0,False
Nairobi,Bread,2006-09-15,65.0,65.0,False
Kitui,Maize (white),2006-09-15,19.0,21.0,False
Mandera,Maize (white),2006-09-15,22.0,23.0,False
Kitui,Beans (dry),2006-10-15,44.0,42.0,False
Kitui,Maize (white),2006-10-15,19.0,19.0,False
Nairobi,Bread,2006-10-15,65.0,65.0,False
Marsabit,Maize (white),2006-10-15,21.0,20.0,False
Mandera,Maize (white),2006-10-15,23.0,22.0,False
Lodwar (Turkana),Maize (white),2006-11-15,28.0,27.0,False
Kitui,Maize (white),2006-11-15,19.0,19.0,False
Kitui,Beans (dry),2006-11-15,44.0,44.0,False
Mandera,Maize (white),2006-11-15,31.0,23.0,False
Nairobi,Bread,2006-11-15,67.5,65.0,True
Marsabit,Maize (white),2006-11-15,20.0,21.0,False
Kitui,Beans (dry),2006-12-15,44.0,44.0,False
Marsabit,Maize (white),2006-12-15,20.0,20.0,False
Mandera,Maize (white),2006-12-15,28.0,31.0,False
Lodwar (Turkana),Maize (white),2006-12-15,28.0,28.0,False
Kitui,Maize (white),2006-12-15,20.0,19.0,False
Nairobi,Bread,2006-12-15,67.5,67.5,False
Nairobi,Bread,2007-01-15,67.5,67.5,False
Mandera,Maize (white),2007-01-15,20.0,28.0,True
Kitui,Maize (white),2007-01-15,18.0,20.0,False
Kitui,Beans (dry),2007-01-15,37.0,44.0,False
Lodwar (Turkana),Maize (white),2007-01-15,30.0,28.0,False
Marsabit,Maize (white),2007-01-15,16.0,20.0,True
Kitui,Beans (dry),2007-02-15,30.0,37.0,False
Lodwar (Turkana),Maize (white),2007-02-15,30.0,30.0,False
Kitui,Maize (white),2007-02-15,17.0,18.0,False
Marsabit,Maize (white),2007-02-15,16.0,16.0,False
Nairobi,Bread,2007-02-15,67.5,67.5,False
Marsabit,Maize (white),2007-03-15,14.0,16.0,False
Kitui,Maize (white),2007-03-15,8.0,17.0,True
Kitui,Beans (dry),2007-03-15,23.0,30.0,False
Mandera,Maize (white),2007-03-15,22.0,20.0,False
Lodwar (Turkana),Maize (white),2007-03-15,30.0,30.0,False
Nairobi,Bread,2007-03-15,67.5,67.5,False
Marsabit,Maize (white),2007-04-15,12.0,14.0,False
Lodwar (Turkana),Maize (white),2007-04-15,31.0,30.0,False
Kitui,Beans (dry),2007-04-15,30.0,23.0,False
Kitui,Maize (white),2007-04-15,8.0,8.0,False
Nairobi,Bread,2007-04-15,67.5,67.5,False
Mandera,Maize (white),2007-05-15,33.0,22.0,True
Nairobi,Bread,2007-05-15,67.5,67.5,False
Kitui,Maize (white),2007-05-15,8.0,8.0,False
Kitui,Beans (dry),2007-05-15,34.0,30.0,False
Lodwar (Turkana),Maize (white),2007-05-15,29.0,31.0,False
Marsabit,Maize (white),2007-05-15,15.0,12.0,False
Kitui,Maize (white),2007-06-15,9.0,8.0,False
Lodwar (Turkana),Maize (white),2007-06-15,30.0,29.0,False
Nairobi,Bread,2007-06-15,67.5,67.5,False
Kitui,Beans (dry),2007-06-15,35.0,34.0,False
Marsabit,Maize (white),2007-06-15,15.0,15.0,False
Kitui,Beans (dry),2007-07-15,35.0,35.0,False
Nairobi,Bread,2007-07-15,70.0,67.5,True
Kitui,Maize (white),2007-07-15,9.0,9.0,False
Mandera,Maize (white),2007-07-15,25.0,33.0,False
Marsabit,Maize (white),2007-07-15,15.0,15.0,False
Mandera,Maize (white),2007-08-15,30.0,25.0,False
Nairobi,Bread,2007-08-15,70.0,70.0,False
Kitui,Maize (white),2007-08-15,9.0,9.0,False
Marsabit,Maize (white),2007-08-15,15.0,15.0,False
Kitui,Beans (dry),2007-08-15,35.0,35.0,False
Nairobi,Bread,2007-09-15,72.5,70.0,True
Mandera,Maize (white),2007-09-15,29.0,30.0,False
Kitui,Beans (dry),2007-09-15,35.0,35.0,False
Kitui,Maize (white),2007-09-15,9.0,9.0,False
Marsabit,Maize (white),2007-09-15,18.0,15.0,False
Mandera,Maize (white),2007-10-15,31.0,29.0,False
Kitui,Maize (white),2007-10-15,9.0,9.0,False
Kitui,Beans (dry),2007-10-15,35.0,35.0,False
Marsabit,Maize (white),2007-10-15,15.0,18.0,False
Nairobi,Bread,2007-10-15,75.0,72.5,True
Kitui,Maize (white),2007-11-15,9.0,9.0,False
Mandera,Maize (white),2007-11-15,26.0,31.0,False
Kitui,Beans (dry),2007-11-15,40.0,35.0,False
Marsabit,Maize (white),2007-11-15,18.0,15.0,False
Nairobi,Bread,2007-11-15,77.5,75.0,True
Marsabit,Maize (white),2007-12-15,23.0,18.0,True
Kitui,Maize (white),2007-12-15,14.0,9.0,True
Kitui,Beans (dry),2007-12-15,50.0,40.0,True
Nairobi,Bread,2007-12-15,80.0,77.5,True
Mandera,Maize (white),2007-12-15,31.0,26.0,False
Kitui,Beans (dry),2008-01-15,55.0,50.0,False
Mandera,Maize (white),2008-01-15,31.0,31.0,False
Kitui,Maize (white),2008-01-15,16.0,14.0,False
Marsabit,Maize (white),2008-01-15,22.0,23.0,False
Nairobi,Bread,2008-01-15,82.5,80.0,True
Lodwar (Turkana),Maize (white),2008-01-15,37.0,30.0,True
Lodwar (Turkana),Maize (white),2008-02-15,38.0,37.0,False
Kitui,Maize (white),2008-02-15,15.0,16.0,False
Marsabit,Maize (white),2008-02-15,23.0,22.0,False
Kitui,Beans (dry),2008-02-15,60.0,55.0,False
Mandera,Maize (white),2008-02-15,29.0,31.0,False
Nairobi,Bread,2008-02-15,82.5,82.5,False
Lodwar (Turkana),Maize (white),2008-03-15,35.0,38.0,False
Kitui,Beans (dry),2008-03-15,60.0,60.0,False
Kitui,Maize (white),2008-03-15,15.0,15.0,False
Nairobi,Bread,2008-03-15,82.5,82.5,False
Marsabit,Maize (white),2008-03-15,24.0,23.0,False
Mandera,Maize (white),2008-03-15,33.0,29.0,False
Nairobi,Bread,2008-04-15,82.5,82.5,False
Kitui,Beans (dry),2008-04-15,40.0,60.0,True
Marsabit,Maize (white),2008-04-15,26.0,24.0,False
Kitui,Maize (white),2008-04-15,13.0,15.0,False
Lodwar (Turkana),Maize (white),2008-04-15,40.0,35.0,False
Nairobi,Bread,2008-05-15,82.5,82.5,False
Mandera,Maize (white),2008-05-15,34.0,33.0,False
Kitui,Beans (dry),2008-05-15,50.0,40.0,False
Marsabit,Maize (white),2008-05-15,27.0,26.0,False
Kitui,Maize (white),2008-05-15,20.0,13.0,True
Lodwar (Turkana),Maize (white),2008-05-15,55.0,40.0,True
Nairobi,Bread,2008-06-15,82.5,82.5,False
Kitui,Maize (white),2008-06-15,22.0,20.0,False
Marsabit,Maize (white),2008-06-15,27.0,27.0,False
Kitui,Beans (dry),2008-06-15,55.0,50.0,False
Lodwar (Turkana),Maize (white),2008-06-15,50.0,55.0,False
Mandera,Maize (white),2008-07-15,32.0,34.0,False
Lodwar (Turkana),Maize (white),2008-07-15,47.0,50.0,False
Nairobi,Bread,2008-07-15,82.5,82.5,False
Marsabit,Maize (white),2008-07-15,29.0,27.0,False
Kitui,Maize (white),2008-07-15,27.0,22.0,False
Kitui,Beans (dry),2008-07-15,70.0,55.0,True
Kitui,Maize (white),2008-08-15,30.0,27.0,False
Lodwar (Turkana),Maize (white),2008-08-15,43.0,47.0,False
Marsabit,Maize (white),2008-08-15,30.0,29.0,False
Nairobi,Bread,2008-08-15,82.5,82.5,False
Kitui,Beans (dry),2008-08-15,70.0,70.0,False
Mandera,Maize (white),2008-08-15,34.0,32.0,False
Kitui,Beans (dry),2008-09-15,70.0,70.0,False
Marsabit,Maize (white),2008-09-15,31.0,30.0,False
Nairobi,Bread,2008-09-15,85.0,82.5,True
Kitui,Maize (white),2008-09-15,30.0,30.0,False
Mandera,Maize (white),2008-09-15,34.0,34.0,False
Lodwar (Turkana),Maize (white),2008-09-15,45.0,43.0,False
Kitui,Maize (white),2008-10-15,34.0,30.0,False
Kitui,Beans (dry),2008-10-15,80.0,70.0,False
Nairobi,Bread,2008-10-15,85.0,85.0,False
Marsabit,Maize (white),2008-10-15,32.0,31.0,False
Mandera,Maize (white),2008-10-15,35.0,34.0,False
Mandera,Maize (white),2008-11-15,36.0,35.0,False
Kitui,Maize (white),2008-11-15,35.0,34.0,False
Marsabit,Maize (white),2008-11-15,42.0,32.0,True
Kitui,Beans (dry),2008-11-15,80.0,80.0,False
Nairobi,Bread,2008-11-15,85.0,85.0,False
Lodwar (Turkana),Maize (white),2008-11-15,42.0,45.0,False
Marsabit,Maize (white),2008-12-15,42.0,42.0,False
Kitui,Maize (white),2008-12-15,30.0,35.0,False
Mandera,Maize (white),2008-12-15,37.0,36.0,False
Nairobi,Bread,2008-12-15,85.0,85.0,False
Kitui,Beans (dry),2008-12-15,65.0,80.0,True
Lodwar (Turkana),Maize (white),2009-01-15,49.0,42.0,False
Mandera,Maize (white),2009-01-15,37.0,37.0,False
Kitui,Beans (dry),2009-01-15,65.0,65.0,False
Nairobi,Bread,2009-01-15,85.0,85.0,False
Kitui,Maize (white),2009-01-15,30.0,30.0,False
Marsabit,Maize (white),2009-01-15,44.0,42.0,False
Kitui,Maize (white),2009-02-15,35.0,30.0,False
Nairobi,Bread,2009-02-15,85.0,85.0,False
Marsabit,Maize (white),2009-02-15,42.0,44.0,False
Lodwar (Turkana),Maize (white),2009-02-15,43.0,49.0,False
Kitui,Beans (dry),2009-02-15,65.0,65.0,False
Nairobi,Bread,2009-03-15,85.0,85.0,False
Mandera,Maize (white),2009-03-15,37.0,37.0,False
Kitui,Maize (white),2009-03-15,35.0,35.0,False
Kitui,Beans (dry),2009-03-15,65.0,65.0,False
Marsabit,Maize (white),2009-03-15,42.0,42.0,False
Lodwar (Turkana),Maize (white),2009-03-15,40.0,43.0,False
Kitui,Beans (dry),2009-04-15,70.0,65.0,False
Lodwar (Turkana),Maize (white),2009-04-15,41.0,40.0,False
Nairobi,Bread,2009-04-15,85.0,85.0,False
Kitui,Maize (white),2009-04-15,35.0,35.0,False
Marsabit,Maize (white),2009-04-15,44.0,42.0,False
Lodwar (Turkana),Maize (white),2009-05-15,46.0,41.0,False
Kitui,Beans (dry),2009-05-15,75.0,70.0,False
Nairobi,Bread,2009-05-15,87.5,85.0,True
Kitui,Maize (white),2009-05-15,36.0,35.0,False
Marsabit,Maize (white),2009-05-15,46.0,44.0,False
Kitui,Maize (white),2009-06-15,36.0,36.0,False
Nairobi,Bread,2009-06-15,85.0,87.5,True
Kitui,Beans (dry),2009-06-15,80.0,75.0,False
Mandera,Maize (white),2009-06-15,43.0,37.0,False
Marsabit,Maize (white),2009-06-15,45.0,46.0,False
Marsabit,Maize (white),2009-07-15,47.5,45.0,False
Nairobi,Bread,2009-07-15,85.0,85.0,False
Mandera,Maize (white),2009-07-15,44.0,43.0,False
Kitui,Maize (white),2009-07-15,33.0,36.0,False
Kitui,Beans (dry),2009-07-15,70.0,80.0,False
Lodwar (Turkana),Maize (white),2009-07-15,52.0,46.0,False
Kitui,Maize (white),2009-08-15,30.0,33.0,False
Mandera,Maize (white),2009-08-15,44.0,44.0,False
Kitui,Beans (dry),2009-08-15,60.0,70.0,False
Marsabit,Maize (white),2009-08-15,42.5,47.5,True
Nairobi,Bread,2009-08-15,82.5,85.0,True
Mandera,Maize (white),2009-09-15,40.0,44.0,False
Nairobi,Bread,2009-09-15,82.5,82.5,False
Kitui,Maize (white),2009-09-15,30.0,30.0,False
Kitui,Beans (dry),2009-09-15,60.0,60.0,False
Marsabit,Maize (white),2009-09-15,43.0,42.5,False
Lodwar (Turkana),Maize (white),2009-09-15,51.0,52.0,False
Kitui,Maize (white),2009-10-15,30.0,30.0,False
Kitui,Beans (dry),2009-10-15,60.0,60.0,False
Mandera,Maize (white),2009-10-15,41.0,40.0,False
